[16 Dec 2025 06:51:19,705 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 07:56:51,867 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 07:56:51,905 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 07:56:51,906 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 07:56:52,002 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 07:56:52,006 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2888 ms
[16 Dec 2025 07:56:54,065 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 07:57:37,675 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 07:57:37,728 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 07:57:37,728 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 07:57:37,833 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 07:57:37,835 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3951 ms
[16 Dec 2025 07:57:40,150 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:39:34,564 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:39:34,618 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:39:34,619 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:39:34,875 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:39:34,878 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3800 ms
[16 Dec 2025 09:39:37,938 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:40:49,520 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:40:49,559 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:40:49,560 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:40:49,713 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:40:49,719 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3383 ms
[16 Dec 2025 09:40:51,569 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:43:41,657 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:43:41,678 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:43:41,678 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:43:41,784 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:43:41,787 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3795 ms
[16 Dec 2025 09:43:43,379 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 09:49:09,332 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 09:49:09,364 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 09:49:09,364 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 09:49:09,426 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 09:49:09,426 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2013 ms
[16 Dec 2025 09:49:11,270 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
